,postag
157,"[('layanan', 'NN'), ('proses', 'NN'), ('cepat', 'JJ'), ('catatan', 'NN'), ('pasien', 'NN'), ('status', 'NN'), ('gejala', 'NN'), ('covid', 'NN'), ('dokter', 'NN'), ('kasih', 'NN'), ('himbauan', 'NN'), ('mengasih', 'MD'), ('pil', 'VB'), ('tidur', 'NN'), ('sesuai', 'JJ'), ('dosis', 'NN'), ('perlukan', 'VB'), ('orsng', 'NN'), ('sakit', 'JJ'), ('butuh', 'VB'), ('istirahat', 'VB')]"
158,"[('beli', 'VB'), ('obat', 'NN'), ('layanan', 'NN'), ('dokter', 'NN'), ('bagus', 'JJ'), ('ganguan', 'NN'), ('iya', 'NN'), ('ganti', 'NN'), ('nomor', 'NN'), ('nomor', 'NN'), ('ganti', 'NN'), ('pakai', 'VB'), ('email', 'NN'), ('riwayat', 'NN'), ('transaksi', 'NN'), ('hilang', 'VB'), ('tertawa', 'VB'), ('aplikasi', 'NN')]"
159,"[('senang', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('obat', 'NN'), ('langsung', 'RB'), ('diantar', 'IN'), ('resep', 'NN'), ('pelayanan', 'NN'), ('jam', 'NN'), ('dokter', 'NN'), ('informatif', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
160,"[('halodoc', 'NN'), ('pembayaran', 'NN'), ('diperluas', 'JJ'), ('iya', 'NN'), ('gopay', 'FW'), ('bca', 'NN'), ('mandiri', 'NN'), ('debit', 'NN'), ('maksud', 'NN'), ('ragu', 'JJ'), ('cobain', 'IN'), ('aplikasi', 'NN'), ('dokter', 'NN'), ('langsung', 'RB'), ('pandemi', 'VB'), ('pembayaran', 'NN'), ('di', 'IN'), ('mana', 'WH'), ('indomaret', 'FW'), ('alfamart', 'FW'), ('dan', 'CC'), ('sebagainya', 'NN'), ('kota', 'NN'), ('akses', 'NN'), ('gampang', 'NN'), ('desa', 'NN'), ('susah', 'NN'), ('inti', 'NN'), ('ditingkatkan', 'VB'), ('mohon', 'NNP')]"
161,"[('membantu', 'VB'), ('lanjut', 'VB'), ('usia', 'NN'), ('biaya', 'NN'), ('kesehatan', 'NN'), ('terbatas', 'JJ')]"
162,"[('sat', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('tertawa', 'VB'), ('line', 'FW'), ('memudahkan', 'VB'), ('pilihan', 'NN'), ('dokter', 'FW'), ('range', 'FW'), ('biaya', 'NN'), ('disesuaikan', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halo', 'FW'), ('doc', 'FW')]"
163,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('kalangan', 'NN'), ('luas', 'JJ'), ('terbatas', 'NN'), ('khusus', 'JJ'), ('milenial', 'JJ'), ('konsultasi', 'NN'), ('tipis', 'JJ'), ('tipis', 'JJ'), ('saran', 'NN'), ('muculkan', 'VB'), ('saldo', 'NN'), ('profile', 'FW'), ('pemilik', 'NN'), ('akun', 'NN'), ('permudah', 'JJ'), ('mengisi', 'NN'), ('saldo', 'NN'), ('berbagi', 'VB'), ('bank', 'NN'), ('aplikasi', 'NN'), ('bayar', 'VB'), ('bayar', 'VB')]"
164,"[('membantu', 'VB'), ('sat', 'NN'), ('pandemi', 'JJ')]"
165,"[('bermanfat', 'VB'), ('orang', 'NN'), ('membutuhkan', 'VB'), ('bantuan', 'NN'), ('cepat', 'JJ')]"
166,"[('cangih', 'VB'), ('langsung', 'RB'), ('konsultasi', 'VB'), ('dokter', 'NN'), ('ahli', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('respon', 'NN'), ('cepat', 'JJ'), ('dokter', 'NN'), ('membantu', 'VB'), ('membutuhkan', 'VB'), ('pelayanan', 'NN'), ('kesehatan', 'NN')]"
167,"[('kali', 'NND'), ('janji', 'NN'), ('ravid', 'NN'), ('tutup', 'VB')]"
168,"[('aplikasi', 'NN'), ('ambil', 'VB'), ('antrian', 'NN'), ('daring', 'NN'), ('iya', 'NN'), ('aplikasi', 'NN'), ('terintegras', 'NN'), ('dita', 'NN'), ('hasil', 'NN'), ('cek', 'NN'), ('upayakan', 'VB'), ('laporan', 'NN'), ('laporan', 'NN'), ('laporan', 'NN'), ('laporan', 'NN'), ('sehat', 'JJ'), ('ribet', 'FW'), ('halodoc', 'FW'), ('expetasi', 'NN'), ('sebenar', 'NN'), ('tujuan', 'NN'), ('utama', 'JJ'), ('halodoc', 'FW'), ('boh', 'FW'), ('iya', 'NN'), ('fair', 'NN'), ('slogan', 'NN'), ('customer', 'NN'), ('klinik', 'JJ'), ('bolak', 'VB'), ('na', 'NN'), ('hasil', 'NN'), ('test', 'FW'), ('sedang', 'MD'), ('apa', 'WH'), ('pakai', 'VB'), ('daring', 'FW')]"
169,"[('semenjak', 'NN'), ('halodoc', 'FW'), ('terbantu', 'VB'), ('konsultasi', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('rumah', 'NN'), ('antre', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('apotek', 'NN'), ('enak', 'NN'), ('diskon', 'NN'), ('sesi', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('makasi', 'NN'), ('iya', 'NN'), ('halodoc', 'FW'), ('memudahkan', 'VB'), ('hidup', 'NN'), ('semoga', 'NN'), ('promo', 'FW'), ('sukses', 'FW'), ('halodoc', 'FW')]"
170,"[('mengalami', 'VB'), ('kekesalan', 'NN'), ('mendaftar', 'IN'), ('vaksinasi', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('berhubung', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('janji', 'NN'), ('tangal', 'VB'), ('vaksinasi', 'NN'), ('semingu', 'NN'), ('dibatalkan', 'VB')]"
171,"[('aplikasi', 'NN'), ('jelek', 'NN'), ('aktivasi', 'NN'), ('loading', 'NN'), ('terusan', 'NN'), ('diklik', 'NN')]"
172,"[('puas', 'JJ'), ('bagus', 'JJ'), ('ulasan', 'NN'), ('cocok', 'NN'), ('ramah', 'NN'), ('cocok', 'NN'), ('obat', 'NN')]"
173,"[('terima', 'CD'), ('kasih', 'NN'), ('konsultasi', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB')]"
174,"[('pelayanan', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('memudahkan', 'VB'), ('obat', 'NN'), ('keliling', 'FW'), ('apotek', 'FW'), ('lengkap', 'FW'), ('halodoc', 'FW'), ('solusi', 'NN'), ('terbaik', 'JJ'), ('kelengkapan', 'NN'), ('obat', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
175,"[('membantu', 'VB'), ('pas', 'NN'), ('pesan', 'NN'), ('obat', 'NN'), ('darurat', 'NN'), ('butuh', 'VB'), ('enam', 'CD'), ('sedih', 'NN'), ('histori', 'NN'), ('perjalanan', 'NN'), ('paket', 'NN'), ('obat', 'NN'), ('kaya', 'JJ'), ('menungu', 'FW'), ('update', 'FW'), ('terima', 'VB'), ('kasih', 'NN'), ('tim', 'NN'), ('halodoc', 'NN'), ('cepat', 'JJ'), ('merespon', 'NN'), ('kejelasan', 'NN')]"
176,"[('bermanfat', 'VB'), ('sat', 'NN'), ('anak', 'NN'), ('sakit', 'JJ'), ('dimalam', 'IN'), ('rumah', 'NN'), ('sakit', 'JJ'), ('tertawa', 'VB'), ('chat', 'VB'), ('dokter', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('beres', 'FW'), ('pandemic', 'FW'), ('bgini', 'PR'), ('terima', 'VB'), ('kasih', 'NN'), ('bantuan', 'NN'), ('dokter', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW')]"
177,"[('mantap', 'RB'), ('cepat', 'JJ'), ('konsultasi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodock', 'FW')]"
178,"[('halo', 'NN'), ('dokter', 'NN'), ('kamar', 'NN'), ('terpisahkan', 'VB'), ('dipakai', 'VB'), ('isolasi', 'NN'), ('mandiri', 'NN'), ('angota', 'NN'), ('keluarga', 'NN'), ('kena', 'SC'), ('covid', 'VB'), ('sembilan', 'CD'), ('belas', 'NN'), ('sembuh', 'VB'), ('kamar', 'NN'), ('disterilkan', 'VB'), ('dipakai', 'VB'), ('masuk', 'VB'), ('kamar', 'NN')]"
179,"[('diperbarui', 'VB'), ('aplikasi', 'NN'), ('dibuka', 'VB')]"
180,"[('aplikasi', 'NN'), ('bermanfat', 'NN'), ('pembelian', 'NN'), ('obat', 'NN')]"
181,"[('dokter', 'NN'), ('bagus', 'JJ'), ('informasi', 'NN'), ('iya', 'NN'), ('menolong', 'VB')]"
182,"[('senang', 'NN'), ('berobat', 'NN'), ('konsultasi', 'NN'), ('doktet', 'NN'), ('shanti', 'NN'), ('tandayu', 'NN'), ('internist', 'FW'), ('ramah', 'FW'), ('bertele', 'FW'), ('obat', 'NN'), ('arahan', 'NN'), ('alhamdulilah', 'NN'), ('isk', 'NN'), ('membaik', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('bermanfat', 'FW')]"
183,"[('driver', 'NN'), ('gojek', 'NN'), ('kemarin', 'NN'), ('pesan', 'NN'), ('tuk', 'NN'), ('vaksin', 'NN'), ('covid', 'NN'), ('bawa', 'VB'), ('orang', 'NN'), ('lanjut', 'VB'), ('usia', 'NN'), ('mendapatkn', 'NN'), ('vaksin', 'NN'), ('tnp', 'NN'), ('membawa', 'VB'), ('orang', 'NN'), ('lanjut', 'VB'), ('usia', 'NN')]"
184,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('di', 'IN'), ('tengah', 'NN'), ('pandemi', 'NN'), ('covidsembilan', 'NN'), ('belas', 'NN'), ('rumah', 'NN'), ('tingal', 'JJ'), ('memgunakan', 'VB'), ('aplikasi', 'NN'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW'), ('tingkatkan', 'VB'), ('kualitas', 'NN'), ('iya', 'PRP')]"
185,"[('halodoc', 'NN'), ('janji', 'NN'), ('dokter', 'NN'), ('vaksin', 'NN'), ('manula', 'NN'), ('drive', 'FW'), ('thru', 'FW'), ('mudah', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
186,"[('berpartisipasi', 'NN'), ('penangulangan', 'NN'), ('covid', 'NN'), ('sembilan', 'NN'), ('belas', 'JJ')]"
187,"[('membantu', 'VB'), ('memuaskan', 'VB'), ('informasi', 'NN'), ('pelayanan', 'NN')]"
188,"[('kasih', 'MD'), ('bintang', 'VB'), ('kendala', 'NN'), ('pembayay', 'FW'), ('gopay', 'FW'), ('penyelesaian', 'NN'), ('tim', 'NN'), ('halodoc', 'NN'), ('cepat', 'JJ'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('tim', 'NN'), ('halodoc', 'FW')]"
189,"[('beruntung', 'VB'), ('pu', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('antre', 'FW'), ('antre', 'FW'), ('rumah', 'NN'), ('sakit', 'NN'), ('klinik', 'NN'), ('obat', 'NN'), ('obat', 'NN'), ('rekomendasikan', 'VB'), ('manjur', 'NN')]"
190,"[('vaksin', 'NN'), ('sertifikat', 'NN'), ('vaksin', 'NN'), ('iya', 'NN'), ('admin', 'VB')]"
191,"[('aplikasi', 'NN'), ('bagus', 'JJ'), ('pelayanan', 'NN'), ('konsultasi', 'NN'), ('cepat', 'JJ'), ('respon', 'NN'), ('apotek', 'NN'), ('cepat', 'JJ')]"
192,"[('pemesanan', 'NN'), ('obat', 'NN'), ('fitur', 'NN'), ('chat', 'VB'), ('tolong', 'VB'), ('dialihkan', 'VB'), ('fitur', 'NN'), ('sms', 'NN'), ('butuh', 'VB'), ('pulsa', 'NN'), ('dialihkan', 'VB'), ('fitur', 'NN'), ('gojek', 'NN'), ('fitur', 'NN'), ('chat', 'VB'), ('aplikasi', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('konfirmasi', 'NN'), ('driver', 'NN'), ('pakai', 'VB'), ('pulsa', 'NN')]"
193,"[('waw', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('diskusi', 'NN'), ('enak', 'NN'), ('lancar', 'JJ'), ('salut', 'VB'), ('ngak', 'NN'), ('sangka', 'NN'), ('bagus', 'JJ'), ('ngak', 'NN'), ('jam', 'NN'), ('obat', 'NN'), ('ditangan', 'NN')]"
194,"[('asli', 'JJ'), ('parah', 'NN'), ('aplikasi', 'NN'), ('niat', 'NN'), ('mempercepat', 'VB'), ('urusan', 'NN'), ('rapid', 'NN'), ('antigen', 'NN'), ('terkendala', 'NN'), ('aplikasi', 'NN'), ('sia', 'NN'), ('sia', 'NN'), ('berharap', 'VB'), ('berharap', 'VB'), ('berangkat', 'NN'), ('kerja', 'NN'), ('parah', 'NN'), ('dana', 'NN'), ('sekr', 'NN'), ('ng', 'NN'), ('dikembalikan', 'VB'), ('halodoc', 'FW')]"
195,"[('kali', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('sat', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('bermanfat', 'NN'), ('sat', 'NN'), ('kondisi', 'NN'), ('keluhan', 'NN'), ('salah', 'JJ'), ('diagnosis', 'JJ')]"
196,"[('cepat', 'JJ'), ('hemat', 'NN'), ('efesien', 'NN'), ('janji', 'NN'), ('vaksinasi', 'NN'), ('covidsembilan', 'NN'), ('belas', 'JJ'), ('lanjut', 'VB'), ('usia', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('tingal', 'VB'), ('janji', 'NN'), ('vaksinasi', 'NN'), ('sukses', 'NN'), ('amanah', 'NN'), ('halodoc', 'FW')]"
197,"[('terima', 'CD'), ('kasih', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('sat', 'NN'), ('pandemi', 'NN'), ('aman', 'JJ'), ('kesini', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('senior', 'JJ'), ('langanan', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
198,"[('bagus', 'JJ'), ('kadang', 'VB'), ('obat', 'NN'), ('tersedia', 'VB'), ('apotek', 'NN'), ('terdekat', 'NN'), ('pesan', 'NN'), ('daring', 'NN'), ('semoga', 'NN'), ('ke', 'IN'), ('depan', 'NN')]"
199,"[('sumpah', 'NN'), ('chat', 'VB'), ('dokter', 'NN'), ('pakai', 'VB'), ('bayar', 'VB'), ('enga', 'NN'), ('aplikasi', 'NN'), ('membantu', 'VB'), ('orang', 'NN'), ('susah', 'NN'), ('konsultasi', 'NN'), ('bayar', 'VB'), ('kecuali', 'RB'), ('beli', 'VB'), ('obat', 'NN'), ('periksa', 'VB'), ('oke', 'NN'), ('chat', 'VB'), ('bayar', 'VB'), ('membantu', 'VB'), ('kali', 'NND')]"
200,"[('bermanfat', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'FW')]"
201,"[('aplikasi', 'NN'), ('jalan', 'NN'), ('merespon', 'NN'), ('menyebalkan', 'VB')]"
202,"[('konsultasi', 'NN'), ('di', 'IN'), ('sini', 'PR'), ('memuaskan', 'VB'), ('pergi', 'VB'), ('apotek', 'NN'), ('ucapkan', 'VB'), ('terima', 'CD'), ('kasi', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('semoga', 'FW'), ('halodoc', 'FW'), ('manfat', 'FW')]"
203,"[('bagus', 'JJ'), ('aplikasi', 'NN'), ('respon', 'NN'), ('dokter', 'NN')]"
204,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('ngebantu', 'FW'), ('disat', 'FW'), ('urgent', 'FW'), ('long', 'FW'), ('wekend', 'FW'), ('terima', 'FW'), ('kasih', 'FW'), ('dokter', 'FW'), ('stand', 'FW'), ('beli', 'VB'), ('wekend', 'FW'), ('chat', 'VB'), ('asik', 'NN'), ('ramah', 'NN'), ('informasi', 'NN'), ('akurat', 'JJ')]"
205,"[('informasi', 'NN'), ('mudah', 'JJ'), ('terjawab', 'VB')]"
206,"[('aplikasi', 'NN'), ('berbayar', 'VB'), ('heheheheh', 'IN'), ('aplikasi', 'NN'), ('bagus', 'JJ'), ('nyobain', 'IN'), ('diliat', 'NN'), ('download', 'FW'), ('sih', 'FW'), ('bagus', 'FW'), ('pas', 'FW'), ('download', 'FW'), ('berbayar', 'VB'), ('langsung', 'RB'), ('kecewa', 'VB'), ('sih', 'NN'), ('tolong', 'VB'), ('dikembangin', 'NN'), ('biar', 'CD'), ('aplikasi', 'NN'), ('berbayar', 'NN'), ('gratis', 'JJ'), ('aplikasi', 'NN'), ('sblh', 'NN'), ('kasih', 'NN'), ('bintang', 'NN'), ('fitur', 'NN'), ('ta', 'NN'), ('dokter', 'NN'), ('gratis', 'JJ'), ('kasih', 'MD'), ('bintang', 'VB')]"
207,"[('membantu', 'VB'), ('apan', 'NN'), ('ribet', 'NN'), ('bayar', 'VB'), ('ribet', 'NN'), ('aplikasi', 'NN'), ('berguna', 'NN'), ('sumpah', 'NN'), ('sih', 'NN'), ('ngehack', 'NN'), ('aplikasi', 'NN'), ('sumpah', 'NN'), ('janji', 'NN'), ('rapid', 'NN'), ('persulit', 'JJ')]"
208,"[('berguna', 'NN'), ('efesien', 'NN'), ('memesan', 'NN'), ('obat', 'NN'), ('dimanapun', 'SC'), ('cari', 'VB'), ('apotek', 'NN'), ('menyediakan', 'VB'), ('obat', 'NN'), ('cinta', 'VB'), ('this', 'NN'), ('kembangkan', 'VB')]"
209,"[('membantu', 'VB'), ('pelayanan', 'NN'), ('ramah', 'NN'), ('bagus', 'JJ'), ('dokter', 'NN')]"
210,"[('puas', 'JJ'), ('dokter', 'NN'), ('dokter', 'NN'), ('ramah', 'NN'), ('ramah', 'NN'), ('diaknosa', 'NN'), ('obat', 'NN'), ('alhamdulilah', 'NN'), ('cocok', 'NN'), ('semoga', 'NN'), ('dokter', 'NN'), ('sehat', 'JJ'), ('amin', 'VB')]"
211,"[('pengirim', 'VB'), ('ramah', 'NN'), ('sesuai', 'JJ'), ('s', 'FW'), ('o', 'FW'), ('p', 'FW'), ('pemesan', 'NN'), ('salut', 'VB'), ('drivernya', 'RB')]"
212,"[('membantu', 'VB'), ('dimasa', 'NN'), ('pandemi', 'NN'), ('konsultasi', 'NN'), ('obat', 'NN'), ('rumah', 'NN'), ('serasa', 'NN'), ('pu', 'NN'), ('dokter', 'NN'), ('pribadi', 'NN')]"
213,"[('asalamualaikum', 'NN'), ('maf', 'NN'), ('berta', 'NN'), ('habis', 'JJ'), ('unduh', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('playstore', 'FW'), ('buka', 'VB'), ('aplikasi', 'NN'), ('masuk', 'VB'), ('aplikasi', 'NN'), ('halodoc', 'NN'), ('klik', 'NN'), ('chat', 'VB'), ('dokter', 'NN'), ('lihat', 'VB'), ('di', 'IN'), ('situ', 'NN'), ('pilihan', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('konsultasi', 'NN'), ('kesehatan', 'NN'), ('sebenar', 'NN'), ('konsultasi', 'NN'), ('kesehatan', 'NN'), ('dokter', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('membayar', 'VB'), ('chat', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('chat', 'VB'), ('halodoc', 'FW')]"
214,"[('solusi', 'NN'), ('praktis', 'JJ'), ('biaya', 'NN'), ('murah', 'JJ'), ('dokter', 'NN'), ('responsif', 'JJ')]"
215,"[('daring', 'NN'), ('sesi', 'NN'), ('petunjuk', 'NN'), ('konsultasi', 'NN'), ('beli', 'VB'), ('text', 'FW'), ('vc', 'FW'), ('buang', 'NN'), ('buang', 'NN'), ('uang', 'NN'), ('bayar', 'VB'), ('konsultasi', 'NN')]"
216,"[('uang', 'NN'), ('diterima', 'VB'), ('status', 'NN'), ('tes', 'NN'), ('antigen', 'NN'), ('dikonfirmasi', 'NN'), ('dikonfirmasi', 'NN'), ('nerima', 'CD'), ('uang', 'NN'), ('iya', 'NN'), ('ngelayanin', 'NN'), ('customer', 'NN'), ('respon', 'NN'), ('lancar', 'JJ'), ('lancar', 'JJ'), ('kali', 'NN'), ('kecewa', 'NN'), ('berat', 'JJ')]"
217,"[('aplikasi', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('keluarga', 'NN'), ('membeli', 'VB'), ('obat', 'NN'), ('obatan', 'NN'), ('vitamin', 'FW'), ('tes', 'FW'), ('pacar', 'FW'), ('pandemic', 'FW'), ('mantap', 'FW'), ('deh', 'FW'), ('pokok', 'FW')]"
218,"[('aplikasi', 'NN'), ('enak', 'NN'), ('sih', 'FW'), ('scheduling', 'FW'), ('dokter', 'FW'), ('antre', 'FW'), ('rumah', 'NN'), ('sakit', 'JJ'), ('Cuma', 'NNP'), ('pelayanan', 'NN'), ('mengecewakan', 'VB'), ('hasil', 'NN'), ('tes', 'NN'), ('infokan', 'VB'), ('sms', 'NN'), ('selesai', 'VB'), ('sat', 'NN'), ('hasil', 'NN'), ('tes', 'FW'), ('hardcopy', 'FW'), ('softcopy', 'FW'), ('ambil', 'FW'), ('tes', 'FW'), ('media', 'NN'), ('chat', 'VB'), ('customer', 'FW'), ('service', 'FW'), ('respon', 'FW'), ('lambat', 'JJ'), ('respon', 'NN'), ('menit', 'NN'), ('memutuskan', 'VB'), ('jalur', 'NN'), ('komunikasi', 'NN'), ('ulang', 'VB'), ('merespon', 'NN'), ('lambat', 'JJ'), ('customer', 'FW'), ('service', 'FW'), ('konfirmasi', 'NN'), ('konfirmasi', 'NN'), ('terkait', 'VB'), ('arti', 'NN'), ('sla', 'NN'), ('sisi', 'NN'), ('halodoc', 'NN'), ('responsif', 'JJ')]"
219,"[('dokter', 'NN'), ('co', 'FW'), ('operative', 'FW'), ('nyaman', 'NN'), ('konsultasi', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
220,"[('membantu', 'VB'), ('sulit', 'JJ'), ('rumah', 'NN')]"
221,"[('keren', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('membantu', 'VB'), ('sat', 'NN'), ('hectic', 'X'), ('khusus', 'JJ'), ('terima', 'VB'), ('kasih', 'NN'), ('fen', 'NN'), ('ramah', 'NN'), ('sat', 'NN'), ('konsultasi', 'NN'), ('resep', 'NN'), ('cocok', 'JJ')]"
222,"[('halo', 'FW'), ('halodoc', 'FW'), ('iwan', 'NN'), ('setiawan', 'NN'), ('be', 'NN'), ('ribu', 'CD'), ('enam', 'CD'), ('puluh', 'CD'), ('delapan', 'CD'), ('ag', 'NN'), ('salah', 'JJ'), ('driver', 'NN'), ('gojek', 'NN'), ('bandar', 'NN'), ('lampung', 'VB'), ('konfirmasi', 'NN'), ('orderan', 'NN'), ('halodoc', 'NN'), ('apotek', 'NN'), ('jesaya', 'NN'), ('farma', 'NN'), ('orderan', 'NN'), ('pengambilan', 'NN'), ('obat', 'NN'), ('harap', 'VB'), ('menungu', 'NN'), ('barang', 'NN'), ('persiapkan', 'VB'), ('obat', 'NN'), ('pemesanan', 'NN'), ('tersedia', 'VB'), ('aplikasi', 'NN'), ('gojek', 'NN'), ('jalankan', 'VB'), ('holodoc', 'NN'), ('pemesanan', 'NN'), ('gojek', 'NN'), ('barang', 'NN'), ('driver', 'NN'), ('tingal', 'JJ'), ('bawa', 'VB'), ('barang', 'NN'), ('menjalankan', 'VB'), ('orderan', 'NN'), ('berdasarkan', 'VB'), ('konfirmasi', 'NN'), ('pelangan', 'NN'), ('apotek', 'NN'), ('apl', 'JJ')]"
223,"[('niat', 'NN'), ('make', 'NN'), ('aplikasi', 'NN'), ('cepat', 'JJ'), ('rumah', 'NN'), ('nyata', 'JJ'), ('apotek', 'NN'), ('apotek', 'NN'), ('bumn', 'NN'), ('swasta', 'JJ'), ('diskitar', 'IN'), ('kali', 'NN'), ('fitur', 'NN'), ('ngebuat', 'JJ'), ('pembeliatau', 'CC'), ('driver', 'NN'), ('milih', 'VB'), ('apotek', 'NN'), ('terdekat', 'JJ'), ('pakai', 'VB'), ('manual', 'NN'), ('nahan', 'NN'), ('sakit', 'NN'), ('posisi', 'NN'), ('kota', 'NN')]"
224,"[('chat', 'VB'), ('berbayar', 'VB'), ('lebih', 'RB'), ('baik', 'JJ'), ('pakai', 'VB'), ('oke', 'FW'), ('gogle', 'FW'), ('gratis', 'JJ')]"
225,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('metode', 'NN'), ('pembayaran', 'NN'), ('tambahin', 'NN'), ('pembesaran', 'NN'), ('cash', 'FW'), ('tingkatkan', 'FW'), ('sukses', 'FW'), ('halodoc', 'FW'), ('terima', 'VB'), ('kasih', 'MD')]"
226,"[('bagus', 'JJ'), ('puas', 'JJ'), ('halodoc', 'FW'), ('petugas', 'NN'), ('ramah', 'NN'), ('memahami', 'VB'), ('dibidang', 'NN'), ('kepemilikan', 'NN'), ('halodoc', 'NN'), ('sehinga', 'NN'), ('kustomer', 'NN'), ('layani', 'VB'), ('ramah', 'NN'), ('kustomer', 'NN'), ('merasakan', 'VB'), ('puas', 'JJ'), ('halodoc', 'FW'), ('upgrade', 'FW'), ('bidang', 'NN'), ('kedokteran', 'NN'), ('update', 'FW'), ('terbaru', 'FW'), ('medicine', 'FW'), ('informasi', 'NN'), ('virus', 'NN'), ('corona', 'NN'), ('virus', 'NN'), ('vaksin', 'NN'), ('umur', 'NN'), ('servis', 'NN'), ('drivethru', 'JJ'), ('dimudahkan', 'VB'), ('pengajuan', 'NN'), ('sertifikat', 'NN'), ('hasil', 'NN'), ('harga', 'NN'), ('terjangkau', 'VB')]"
227,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW'), ('membntu', 'FW'), ('era', 'NN'), ('pandemi', 'NN'), ('ribet', 'NN'), ('rumah', 'NN'), ('sakit', 'NN'), ('konsultasi', 'NN'), ('diam', 'NN'), ('rumah', 'NN'), ('tingal', 'JJ'), ('chat', 'VB'), ('dokter', 'NN'), ('ramah', 'NN'), ('responsif', 'JJ')]"
228,"[('membantu', 'VB'), ('pademi', 'IN')]"
229,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('kesehatan', 'NN')]"
230,"[('selamat', 'NN'), ('malam', 'NN'), ('mohon', 'FW'), ('maf', 'FW'), ('berta', 'FW'), ('halodoc', 'FW'), ('berbayar', 'VB'), ('konsultasi', 'NN'), ('salah', 'JJ'), ('dokter', 'NN'), ('mengunakan', 'VB'), ('aplikasi', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
231,"[('mencari', 'VB'), ('obat', 'NN'), ('gampang', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ')]"
232,"[('dokter', 'NN'), ('sabar', 'NN'), ('akurat', 'JJ'), ('terima', 'VB'), ('kasih', 'MD'), ('dok', 'VB'), ('bosen', 'CD'), ('ya', 'NN'), ('dok', 'NN'), ('kali', 'NN'), ('kesehatan', 'NN')]"
233,"[('aplikasi', 'NN'), ('membantu', 'VB'), ('anak', 'NN'), ('anak', 'NN'), ('keluarga', 'NN'), ('sehat', 'JJ'), ('berangkat', 'VB'), ('klinik', 'NN'), ('langsung', 'RB'), ('terima', 'VB'), ('kasih', 'NN'), ('halodoc', 'FW')]"
234,"[('uang', 'NN'), ('pengembalian', 'NN'), ('dana', 'NN'), ('juta', 'CD'), ('pembatalan', 'NN'), ('pacar', 'JJ'), ('dikirim', 'VB'), ('tangal', 'VB'), ('februari', 'NN'), ('februari', 'NN'), ('status', 'NN'), ('proses', 'NN')]"
235,"[('membantu', 'VB'), ('musim', 'NN'), ('pandemi', 'JJ')]"
